id,source_name,title,organizer,opportunity_type,disciplines,deadline,application_fee_usd,listing_url,application_url,verification_status,page_check_status,is_live,verified_at,last_checked_at
opp_002,NYFA Opportunities Board,CALL FOR ARTISTS- 2026 National Juried Exhibition,First Street Gallery,open_call,Painting|Photography|Sculpture|Printmaking|All Visual Arts,2026-04-15,40.0,https://www.nyfa.org/opportunities/opportunity-info/?id=77edc084-ba45-4ead-be54-6d5780ee210a,https://www.firststreetgallery.org/exhibitions/nje-prospectus/,verified,live,True,2026-03-31,2026-03-31
opp_008,NYFA Opportunities Board,Call for Art- NIGHT MOVES,Art Fluent,open_call,Drawing|Painting|Photography|Printmaking|All Visual Arts,2026-04-17,25.0,https://www.nyfa.org/opportunities/opportunity-info/?id=bcfbe218-c1dc-40f0-b861-82ab55a44c36,https://artist.callforentry.org/festivals_unique_info.php?ID=16626,verified,live,True,2026-03-31,2026-03-31
